PERMNO,date1,PERMCO,PRC,VOL,RET,SHROUT,MCAP
10892,20100129,8766,27,6441,0.053453,7080,191160
10892,20100226,8766,30.69,5833,0.141111,7080,217285.2
10892,20100331,8766,39,5570,0.270772,7097,276783
10892,20100430,8766,42.11,6046,0.079744,7097,298854.67
10892,20100531,8766,40.33,8042,-0.039421,7097,286222.01
10892,20100630,8766,35.93,9047,-0.1091,7117,255713.81
10892,20100730,8766,38,5613,0.057612,7117,270446
10892,20100831,8766,35.97,11097,-0.050263,8317,299162.49
10892,20100930,8766,37.51,4958,0.042813,8497,318722.47
10892,20101029,8766,39.04,4929,0.040789,8497,331722.88
10892,20101130,8766,43.5,4730,0.117316,8497,369619.5
10892,20101231,8766,47.44,8191,0.090575,8525,404426
10892,20110131,8766,44.9,6443,-0.053541,8525,382772.5
10892,20110228,8766,46.82,5235,0.045434,8525,399140.5
10892,20110331,8766,47.1,7521,0.00598,8595,404824.5
10892,20110429,8766,44.97,6632,-0.045223,8595,386517.15
10892,20110531,8766,41.77,6755,-0.06849,8597,359096.69
10892,20110630,8766,39.65,5711,-0.050754,8604,341148.6
10892,20110729,8766,39.71,5083,0.001513,8604,341664.84
10892,20110831,8766,35,7203,-0.115588,8604,301140
10892,20110930,8766,31.57,7451,-0.098,8611,271849.27
10892,20111031,8766,39.75,6196,0.259107,8611,342287.25
10892,20111130,8766,36.54,5318,-0.077736,8613,314719.02
10892,20111230,8766,35.96,4345,-0.015873,8678,312060.88
10892,20120131,8766,38.91,3389,0.082036,8678,337660.98
10892,20120229,8766,38.49,3701,-0.00771,8678,334016.22
10892,20120330,8766,41,9023,0.065212,8705,356905
10892,20120430,8766,39.91,4029,-0.026585,8705,347416.55
10892,20120531,8766,37.18,3883,-0.065397,8705,323651.9
10892,20120629,8766,40.41,6949,0.086875,8707,351849.87
10892,20120731,8766,41.43,5798,0.025241,8707,360731.01
10892,20120831,8766,40.57,5766,-0.017861,8709,353324.13
10892,20120928,8766,41.28,6510,0.017501,8734,360539.52
10892,20121031,8766,42.46,4867,0.028585,8734,370845.64
10892,20121130,8766,43.4,4912,0.024965,8736,379142.4
10892,20121231,8766,42.25,5760,-0.026498,8773,370659.25
10892,20130131,8766,45.47,5105,0.076213,8773,398908.31
10892,20130228,8766,47.5,4276,0.047284,8773,416717.5
10892,20130328,8766,48.64,4823,0.024,8793,427691.52
10892,20130430,8766,48.94,5030,0.006168,8793,430329.42
10892,20130531,8766,50.24,5062,0.029015,8794,441810.56
10892,20130628,8766,52.39,4359,0.042795,8815,461817.85
10892,20130731,8766,59.53,4191,0.136286,8815,524756.95
10892,20130830,8766,59.6,5407,0.003192,8819,525612.4
10892,20130930,8766,60.25,3866,0.010906,8844,532851
10892,20131031,8766,70.01,6140,0.161992,8844,619168.44
10892,20131129,8766,75.94,11967,0.086416,8851,672144.94
10892,20131231,8766,77.53,8899,0.020938,8895,689629.35
10892,20140131,8766,71.8,4989,-0.073907,8898,638876.4
10892,20140228,8766,71.29,4950,-0.005432,8898,634338.42
10892,20140331,8766,71.43,5160,0.001964,8910,636441.3
10892,20140430,8766,67.62,6462,-0.053339,8910,602494.2
10892,20140530,8766,67.92,6789,0.006211,8913,605370.96
10892,20140630,8766,73.67,7366,0.084658,8924,657431.08
10892,20140731,8766,71.59,7154,-0.028234,8924,638869.16
10892,20140829,8766,74.6,6741,0.043721,8927,665954.2
10892,20140930,8766,71.61,6309,-0.04008,9396,672847.56
10892,20141031,8766,78.65,5520,0.09831,9399,739231.35
10892,20141128,8766,75.1,5400,-0.04323,9399,705864.9
10892,20141231,8766,76.89,7279,0.023835,9403,722996.67
10892,20150130,8766,73.86,5830,-0.039407,9403,694505.58
10892,20150227,8766,77.74,3678,0.054563,9403,730989.22
10892,20150331,8766,75.63,7276,-0.027142,9422,712585.86
10892,20150430,8766,71.17,5290,-0.058971,9422,670563.74
10892,20150529,8766,24.67,10654,0.042012,28266,697322.22
10892,20150630,8766,27.35,24993,0.108634,27909,763311.15
10892,20150731,8766,28.71,18561,0.049726,27898,800951.58
